name	formula	category	props	uses	memo	tags
炭酸ナトリウム	Na2CO3	無機・塩	白色粉末。水溶液は加水分解して塩基性。十水和物は風解する。	ガラスの原料。アンモニアソーダ法で製造。	塩酸を加えると CO2 が発生	muki
炭酸水素ナトリウム	NaHCO3	無機・塩	白色粉末。水に少し溶け弱塩基性。加熱すると分解する。	ベーキングパウダー、胃薬。	2NaHCO3 → Na2CO3 + H2O + CO2。アンモニアソーダ法の中間体	muki
炭酸カルシウム	CaCO3	無機・塩	水に溶けにくい白色固体(石灰石・大理石)。強熱すると CaO と CO2 に分解。	セメント、CO2 の発生源。	アンモニアソーダ法の CO2 と CaO の供給源	muki
酸化カルシウム	CaO	無機・酸化物	白色固体(生石灰)。水と反応して発熱し Ca(OH)2 になる。	乾燥剤。アンモニアソーダ法で NH3 の回収に使う。	塩基性酸化物	muki
水酸化カルシウム	Ca(OH)2	無機・塩基	白色粉末(消石灰)。水溶液は石灰水。	CO2 の検出。	CO2 を通すと白濁し、さらに通すと Ca(HCO3)2 となって溶ける	muki
酸化アルミニウム	Al2O3	無機・酸化物	白色固体(アルミナ)。融点が高い。	アルミニウムの溶融塩電解の原料。	両性酸化物。酸にも強塩基にも溶ける	muki amphoteric
酸化亜鉛	ZnO	無機・酸化物	白色固体。	顔料、化粧品。	両性酸化物。Al2O3 と対で	muki amphoteric
硫酸銅(II)五水和物	CuSO4·5H2O	無機・塩	青色結晶。加熱すると白色無水物になる。	水の検出、電気分解の電解液。	無水物が水を吸うと青くなる	muki
塩化ナトリウム	NaCl	無機・塩	白色結晶。水によく溶ける。	食塩、ソーダ工業の原料。	炎色反応は黄色	muki
さらし粉	CaCl(ClO)·H2O	無機・塩	白色粉末。塩素の酸化・漂白作用を持つ。	漂白剤、殺菌。	Cl2 を Ca(OH)2 に吸収させて得る	muki
過酸化水素	H2O2	無機・酸化物	無色の液体。ふつう酸化剤だが KMnO4 に対しては還元剤。	消毒、酸素の発生。	酸化剤・還元剤の両方になる代表例	muki confusable
オゾン	O3	無機・単体	淡青色特異臭の気体。強い酸化作用。	湿ったヨウ化カリウムデンプン紙を青変させる(検出)。	酸素の同素体	muki
二酸化炭素	CO2	無機・酸化物	無色無臭の気体。水に少し溶け弱酸性。空気より重い。	下方置換で捕集。石灰水を白濁させる。	酸性酸化物	muki gas
一酸化炭素	CO	無機・酸化物	無色無臭の有毒気体。水に溶けにくい。還元性がある。	水上置換。高炉での鉄鉱石の還元。	中性酸化物	muki gas confusable
リン酸	H3PO4	無機・オキソ酸	無色結晶。中程度の強さの酸。	肥料、食品添加物。	十酸化四リン P4O10 を水に溶かして得る	muki acid
十酸化四リン	P4O10	無機・酸化物	白色粉末。強い吸湿性。	乾燥剤。	水と反応して H3PO4 になる	muki
硫化鉄(II)	FeS	無機・塩	黒色固体。	希硫酸と反応して H2S を発生。	H2S の実験室的製法	muki
塩化銀	AgCl	無機・塩	白色沈殿。水に溶けない。光で分解して黒変。	塩化物イオンの検出。	過剰のアンモニア水に錯イオンとなって溶ける	muki precipitate
硫酸バリウム	BaSO4	無機・塩	白色沈殿。水にも酸にも溶けない。	X線造影剤。	硫酸イオンの検出	muki precipitate
クロム酸銀	Ag2CrO4	無機・塩	暗赤色沈殿。	銀イオンの検出。	AgCl(白)・AgBr(淡黄)・AgI(黄) と色で区別	muki precipitate
水酸化アルミニウム	Al(OH)3	無機・塩基	白色ゲル状沈殿。	両性水酸化物。	過剰の NaOH に [Al(OH)4]- として溶ける	muki amphoteric
水酸化亜鉛	Zn(OH)2	無機・塩基	白色沈殿。	両性水酸化物。	過剰の NaOH にも過剰の NH3 水にも溶ける。Al(OH)3 との差はここ	muki amphoteric confusable
水酸化鉄(III)	Fe(OH)3	無機・塩基	赤褐色沈殿。	Fe3+ の検出。	Fe2+ は緑白色の Fe(OH)2	muki precipitate
硫酸鉄(II)七水和物	FeSO4·7H2O	無機・塩	淡緑色結晶。	還元剤。	Fe2+ は淡緑色、Fe3+ は黄褐色	muki
ヨウ素	I2	無機・ハロゲン単体	黒紫色の固体。昇華する。水に溶けにくくヨウ化カリウム水溶液には溶ける。	デンプンとの呈色(ヨウ素デンプン反応)。	ハロゲン単体の酸化力は F2>Cl2>Br2>I2	muki
フッ化水素	HF	無機・水素化合物	無色の気体または液体。水溶液は弱酸。	ガラスの腐食。	ハロゲン化水素で唯一の弱酸。水素結合のため沸点が高い	muki confusable
硝酸銀	AgNO3	無機・塩	無色結晶。水に溶ける。光で分解。	ハロゲン化物イオンの検出。	褐色びんに保存	muki
テトラアンミン銅(II)イオン	[Cu(NH3)4]2+	無機・錯イオン	深青色の水溶液。	Cu2+ の確認。	Cu2+ に NH3 水を少量加えると青白沈殿、過剰で深青色溶液	muki complex
ジアンミン銀(I)イオン	[Ag(NH3)2]+	無機・錯イオン	無色の水溶液。	銀鏡反応の試薬(アンモニア性硝酸銀)。	AgCl が過剰の NH3 水に溶けるのはこの錯イオンのため	muki complex
ヘキサシアニド鉄(II)酸カリウム	K4[Fe(CN)6]	無機・錯塩	黄色結晶。	Fe3+ と反応して濃青色沈殿。	Fe2+ には K3[Fe(CN)6] が濃青色。組み合わせを間違えやすい	muki complex confusable
チオ硫酸ナトリウム	Na2S2O3	無機・塩	白色結晶。	ヨウ素滴定、写真の定着。	I2 + 2Na2S2O3 → 2NaI + Na2S4O6	muki
過マンガン酸カリウム	KMnO4	無機・塩	黒紫色結晶。水溶液は赤紫色。強い酸化剤。	酸化還元滴定。	硫酸酸性で Mn2+(無色)に変化。終点は赤紫が消えない点	muki oxidant
二クロム酸カリウム	K2Cr2O7	無機・塩	橙赤色結晶。強い酸化剤。	酸化還元滴定。	硫酸酸性で Cr3+(緑)に変化	muki oxidant
ケイ酸ナトリウム	Na2SiO3	無機・塩	白色固体。水に溶かして加熱すると水ガラスになる。	接着剤、シリカゲルの原料。	水ガラスに塩酸を加えるとケイ酸が得られ、乾燥するとシリカゲル	muki
二酸化ケイ素	SiO2	無機・酸化物	硬い固体(石英・水晶)。共有結合の結晶。	ガラス、光ファイバー。	フッ化水素酸に溶ける唯一の例外	muki
酸化鉄(III)	Fe2O3	無機・酸化物	赤褐色固体(赤鉄鉱)。	鉄の原料、顔料。	テルミット反応で Al に還元される	muki
四酸化三鉄	Fe3O4	無機・酸化物	黒色固体(磁鉄鉱)。磁性を持つ。	ハーバー・ボッシュ法の触媒の主成分。	Fe2O3 と対で覚える	muki
酸化銅(II)	CuO	無機・酸化物	黒色固体。	有機化合物の元素分析。	塩基性酸化物。Cu2O は赤色	muki
水素	H2	無機・単体	無色無臭の最も軽い気体。水に溶けにくい。	水上置換で捕集。還元剤。	亜鉛と希硫酸で発生	muki gas
酸素	O2	無機・単体	無色無臭の気体。水に溶けにくい。	水上置換で捕集。	過酸化水素水に MnO2(触媒)を加えて発生	muki gas
窒素	N2	無機・単体	無色無臭の気体。常温では不活性。	水上置換。アンモニア合成の原料。	三重結合のため反応性が低い	muki gas
アセチレン	C2H2	有機・炭化水素	無色の気体。三重結合を持つ。	溶接、有機合成の原料。	炭化カルシウムに水を加えて発生	yuki gas
エチレン	C2H4	有機・炭化水素	無色の気体。二重結合を持つ。	ポリエチレンの原料。	エタノールを濃硫酸で約170℃に加熱して生成	yuki gas confusable
ジエチルエーテル	C2H5OC2H5	有機・エーテル	無色揮発性の液体。引火しやすい。	溶媒、麻酔。	エタノールを濃硫酸で約130℃に加熱して生成。170℃との差が頻出	yuki confusable
