front	back	hint	memo	tags
階差数列	bn = a(n+1) - an のとき an = a1 + Σ(k=1 to n-1) bk	n≧2 で成立	n=1 のときを別に確かめる	suugaku suuretsu confusable
数学的帰納法の手順	(1) n=1 で成立を示す (2) n=k で成立を仮定し n=k+1 で成立を示す	2段階	仮定をどこで使ったかを明示する	suugaku suuretsu
Σ の公式	Σk = n(n+1)/2\nΣk^2 = n(n+1)(2n+1)/6\nΣk^3 = {n(n+1)/2}^2	3つ	Σk^3 は (Σk)^2 に等しい	suugaku suuretsu
微分係数の定義	f'(a) = lim(h→0) {f(a+h)-f(a)}/h	極限	定義から求めよと言われたらこれを書く	suugaku bibun
積の微分	(fg)' = f'g + fg'	たすき掛け	商は (f/g)' = (f'g - fg')/g^2	suugaku bibun
合成関数の微分	{f(g(x))}' = f'(g(x))·g'(x)	連鎖律	外側を微分してから内側を掛ける	suugaku bibun
部分積分	∫f g' dx = fg - ∫f' g dx	どちらを微分するか	log や多項式は微分する側に置く	suugaku sekibun
置換積分	∫f(g(x))g'(x)dx = ∫f(u)du（u = g(x)）	積分範囲も変える	定積分では上端下端を u に直す	suugaku sekibun confusable
回転体の体積	V = π∫[a,b] {f(x)}^2 dx	半径の2乗	y軸まわりは x = g(y) にして π∫{g(y)}^2 dy	suugaku sekibun
区分求積法	lim(n→∞) (1/n)Σ(k=1 to n) f(k/n) = ∫[0,1] f(x)dx	1/n と k/n	Σ を積分に直す典型	suugaku sekibun
ベクトルの内積	a·b = |a||b|cosθ = a1b1 + a2b2	2通りの表し方	垂直 ⇔ 内積0	suugaku vector
直線のベクトル方程式	p = a + t·d	通る点と方向ベクトル	3点が同一直線上 ⇔ 適当な t で表せる	suugaku vector
内分点の位置ベクトル	p = (n·a + m·b)/(m+n) （AP:PB = m:n）	分母は m+n	係数が交差することに注意	suugaku vector confusable
複素数平面の回転	点 z を原点まわりに θ 回転すると z(cosθ + i sinθ)	極形式	|z|=1 の複素数を掛けると回転	suugaku fukuso
ド・モアブルの定理	(cosθ + i sinθ)^n = cos(nθ) + i sin(nθ)	n乗	n乗根を求めるときに使う	suugaku fukuso
順列と組合せ	nPr = n!/(n-r)!\nnCr = n!/{r!(n-r)!}	並べるか選ぶか	組合せは順序を区別しない	suugaku kakuritsu
反復試行の確率	nCr p^r (1-p)^(n-r)	二項分布	独立試行を n 回	suugaku kakuritsu
条件付き確率	P(B|A) = P(A∩B)/P(A)	分母は条件のほう	ベイズの定理につながる	suugaku kakuritsu
期待値	E(X) = Σ xk pk	値×確率の和	E(aX+b) = aE(X)+b	suugaku kakuritsu
ユークリッドの互除法	a を b で割った余りを r とすると gcd(a,b) = gcd(b,r)	余りに置き換える	不定方程式の特殊解を求めるのに使う	suugaku seisuu
合同式の基本	a ≡ b (mod m) ⇔ a-b が m で割り切れる	余りが等しい	足し算・掛け算はそのまま計算できる	suugaku seisuu
背理法の型	結論を否定して仮定し、矛盾を導く	否定の作り方	「すべて」の否定は「ある〜が存在して〜でない」	suugaku ronsho
対偶	「p ならば q」の対偶は「q でない ならば p でない」。元の命題と真偽が一致する	逆・裏と区別	直接証明が難しいときに使う	suugaku ronsho confusable
極限の不定形の処理	∞/∞ は最高次で割る。0/0 は因数分解か有理化	形を見て手を決める	√ が絡むときは有理化	suugaku kyokugen
はさみうちの原理	an ≦ bn ≦ cn で lim an = lim cn = α なら lim bn = α	上下から挟む	三角関数や整数部分の極限で使う	suugaku kyokugen
平均値の定理	f が [a,b] で連続、(a,b) で微分可能なら f(b)-f(a) = f'(c)(b-a) となる c が存在する	中間の点	不等式の証明に使う	suugaku bibun
