front	back	hint	memo	tags
36協定	労使協定を結び労基署に届け出れば時間外労働をさせられる。働き方改革で罰則付き上限が設定された	労基法36条	原則月45時間・年360時間	seikei rodo
非正規雇用の問題	賃金格差・雇用の不安定・社会保険の適用漏れ	同一労働同一賃金	パートタイム・有期雇用労働法	seikei rodo
日本の社会保障の4本柱	社会保険・公的扶助・社会福祉・公衆衛生	4つ	社会保険は年金・医療・介護・雇用・労災の5種類	seikei shakai confusable
賦課方式と積立方式	賦課方式は現役世代の保険料で現在の給付をまかなう。積立方式は自分の分を積み立てる	世代間扶養	日本は賦課方式が基本。少子高齢化で負担増	seikei shakai confusable
国民皆保険・皆年金の成立	1961年	昭和36年	国民健康保険法と国民年金法の全面施行	seikei shakai
生活保護の8つの扶助	生活・住宅・教育・医療・介護・出産・生業・葬祭	8種類	公的扶助にあたる	seikei shakai
比較生産費説	各国が相対的に生産費の低い財に特化して貿易すれば双方の利益になる	リカード	絶対的に劣っていても比較優位があれば利益が出る	seikei boeki confusable
保護貿易論	幼稚産業を保護するため関税などで自国産業を守るべきという主張	リスト	ドイツのフリードリヒ・リスト	seikei boeki confusable
国際収支の構成	経常収支（貿易・サービス、第一次所得、第二次所得）＋資本移転等収支＋金融収支	3本柱	経常収支 + 資本移転等収支 - 金融収支 + 誤差脱漏 = 0	seikei boeki confusable
円高になると起きること	輸出に不利、輸入に有利。海外旅行が安くなる	1ドル=100円→80円が円高	円高不況・産業の空洞化	seikei boeki confusable
ブレトンウッズ体制	金1オンス=35ドルの固定相場制。IMFとIBRDを設立	1944年	1971年ニクソン・ショックで崩壊	seikei boeki
スミソニアン協定とキングストン合意	スミソニアン(1971)は固定相場の再建を試みた。キングストン(1976)で変動相場制を正式承認	固定→変動	1973年に主要国は変動相場制へ移行	seikei boeki confusable
プラザ合意	1985年、ドル高是正のためG5が協調介入することで合意	1985年	急激な円高→バブル経済の一因	seikei boeki
GATTからWTOへ	GATTは自由・無差別・多角の3原則。1995年にWTOへ発展し紛争処理機能が強化された	1995年	ネガティブコンセンサス方式	seikei boeki
EPAとFTAの違い	FTAは関税撤廃が中心。EPAは投資・人の移動・知的財産まで含む幅広い協定	範囲の広さ	日本はEPAを中心に締結	seikei boeki confusable
南北問題と南南問題	南北問題は先進国と途上国の経済格差。南南問題は途上国間の格差	途上国間かどうか	資源国と後発開発途上国（LDC）の差	seikei boeki confusable
持続可能な開発目標（SDGs）	2015年国連サミットで採択。2030年までの17の目標	17目標	前身はMDGs（2000-2015）	seikei kokusai
パリ協定	2015年採択。すべての締約国が削減目標を自主的に設定し提出する。産業革命前比で1.5〜2℃未満を目指す	全参加国	京都議定書は先進国のみに義務	seikei kokusai confusable
