front	back	hint	memo	tags
自己インダクタンスによる起電力	V = -L(ΔI/Δt)	電流の時間変化	コイルに蓄えられるエネルギーは (1/2)LI^2	butsuri jiki
交流の実効値	Ve = Vo/√2	最大値の 1/√2	電力の平均から出る	butsuri kouryu
LC回路の共振周波数	f = 1/(2π√(LC))	リアクタンスが等しい	ωL = 1/(ωC) から	butsuri kouryu
ボイル・シャルルの法則	PV/T = 一定	絶対温度	T は必ずケルビン	butsuri netsu
理想気体の状態方程式	PV = nRT	R = 8.31 J/(mol·K)	気体分子運動論から導出できる	butsuri netsu
単原子分子理想気体の内部エネルギー	U = (3/2)nRT	自由度3	二原子分子では (5/2)nRT	butsuri netsu confusable
熱力学第一法則	ΔU = Q + W	W は気体がされた仕事	符号の定義を問題文で確認する	butsuri netsu confusable
定圧変化で気体がする仕事	W = PΔV	圧力一定	P-V グラフの面積	butsuri netsu
断熱変化の特徴	Q = 0 なので ΔU = W。圧縮すると温度が上がる	熱の出入りなし	ポアソンの式 PV^γ = 一定	butsuri netsu
気体分子運動論の圧力	P = (1/3)(Nm v̄^2)/V	分子数と平均2乗速度	(1/2)m v̄^2 = (3/2)kT	butsuri netsu
光電効果の式	(1/2)mv^2max = hν - W	仕事関数 W	限界振動数 ν0 = W/h。光の強さでは電子の運動エネルギーは変わらない	butsuri genshi
ド・ブロイ波長	λ = h/(mv)	運動量の逆数	粒子の波動性	butsuri genshi
ボーアの量子条件	2πr = nλ = nh/(mv)	円周が波長の整数倍	定常状態の条件	butsuri genshi
水素原子のエネルギー準位	En = -13.6/n^2 eV	n の2乗に反比例	基底状態 n=1 で -13.6 eV	butsuri genshi
原子核の結合エネルギーと質量欠損	E = Δm c^2	質量欠損	1 u ≒ 931 MeV	butsuri genshi
半減期	N = N0 (1/2)^(t/T)	T が半減期	対数を取って解く	butsuri genshi
摩擦力（静止・動）	静止摩擦力は 0 から μN まで変化。動摩擦力は F = μ'N で一定	動き出す前後	静止摩擦力は与えられた力に応じて変わる	butsuri rikigaku confusable
浮力	F = ρVg	押しのけた液体の重さ	V は沈んでいる部分の体積	butsuri rikigaku
剛体のつりあい条件	力のベクトル和 = 0 かつ 任意の点まわりの力のモーメントの和 = 0	2条件	モーメントの中心はどこに取ってもよい	butsuri rikigaku
仕事率	P = W/t = Fv	力×速さ	一定速度で動かすときは Fv が便利	butsuri energy
