front	back	hint	memo	tags
プロトコルとは	通信を成立させるための取り決め（手順・形式）	約束事	異なる機種間で通信できるのはプロトコルが共通だから	joho1 network
TCP/IP の4階層	アプリケーション層／トランスポート層／インターネット層／ネットワークインタフェース層	下から4つ	OSI参照モデルの7階層と対応させる問題も出る	joho1 network
TCP と UDP の違い	TCP は確認応答と再送で確実に届ける（低速）。UDP は確認せず送りっぱなし（高速）	信頼性か速度か	動画配信やIP電話は UDP	joho1 network confusable
IPアドレスとMACアドレスの違い	IPアドレスは論理アドレスで変わりうる。MACアドレスは機器固有の物理アドレス	論理／物理	IPv4 は32ビット、MACは48ビット	joho1 network confusable
IPv4 と IPv6	IPv4 は32ビット（約43億個）。IPv6 は128ビットでアドレス枯渇を解決	ビット数	IPv4 は 192.168.1.1 のように8ビットずつ4組	joho1 network
グローバルIPとプライベートIP	グローバルはインターネット上で一意。プライベートは組織内でのみ有効で、NAT で変換して外に出る	NAT	192.168.x.x は代表的なプライベートIP	joho1 network
DNS の役割	ドメイン名をIPアドレスに変換する	名前解決	www.example.jp → 203.0.113.1	joho1 network
DHCP の役割	接続した機器にIPアドレスなどを自動で割り当てる	自動設定	手動設定の手間と重複を防ぐ	joho1 network
ルータの役割	異なるネットワークどうしを接続し、宛先IPアドレスを見て経路を選んで転送する	経路選択	ハブは同一ネットワーク内で信号を分配するだけ	joho1 network confusable
パケット交換方式の利点	データを小分けにして送るので回線を共有でき、一部が失われても再送で済む	回線の共有	回線交換は通信中その回線を占有する	joho1 network confusable
通信時間の計算	通信時間 = データ量 ÷ 実効通信速度。単位をビットにそろえる	バイト→ビットは8倍	100MB を 20Mbps で送る = 100×8÷20 = 40秒	joho1 network keisan
実効速度と伝送効率	実効速度 = 回線速度 × 伝送効率。効率は制御情報などで100%にはならない	掛ける	効率80%なら 100Mbps の実効は 80Mbps	joho1 network keisan
クライアントサーバ方式とP2P	クライアントサーバはサーバに集中。P2P は端末どうしが対等に通信する	集中か分散か	サーバ障害の影響範囲が違う	joho1 network confusable
関係データベースの主キー	表の各行を一意に識別する列。重複せず空にならない	一意性	複数列を組み合わせる複合キーもある	joho1 database
外部キー	他の表の主キーを参照する列。表どうしを関連づける	参照	参照先に存在しない値は入れられない	joho1 database
データベースの正規化の目的	重複を排除して更新時の矛盾（更新異常）を防ぐ	重複排除	分割しすぎると結合が増える	joho1 database
選択・射影・結合	選択は行の絞り込み。射影は列の取り出し。結合は複数の表を関連づけて1つにする	行・列・表	関係演算の3つ	joho1 database confusable
CSV・JSON・XML の違い	CSV は表形式でカンマ区切り。JSON は入れ子構造を書ける軽量形式。XML はタグで構造を記述する	構造の表現力	CSV は階層構造を表せない	joho1 data confusable
データの4尺度	名義尺度（分類）／順序尺度（順位）／間隔尺度（差に意味）／比例尺度（比に意味・原点0）	4つ	温度(摂氏)は間隔尺度、身長は比例尺度	joho1 data confusable
量的データと質的データ	量的は数値で計算に意味がある。質的は分類やラベル	計算できるか	背番号は数値だが質的（名義尺度）	joho1 data confusable
平均値・中央値・最頻値の使い分け	外れ値があるときは中央値が代表値として適切。平均は外れ値に引きずられる	外れ値への強さ	所得分布では平均 > 中央値	joho1 data
四分位数と箱ひげ図	第1四分位数・中央値・第3四分位数で箱を作り、最小・最大にひげを引く。四分位範囲 = Q3 - Q1	箱の幅がIQR	外れ値は Q1-1.5IQR より小、Q3+1.5IQR より大	joho1 data
相関係数の範囲と意味	-1 から 1。絶対値が1に近いほど直線的な関係が強い。0 は直線的な関係がない	-1〜1	曲線的な関係があっても相関係数は0になりうる	joho1 data confusable
相関と因果の違い	相関があっても因果があるとは限らない。第3の変数（交絡因子）や偶然の可能性がある	擬似相関	アイスの売上と水難事故（共通原因は気温）	joho1 data confusable
欠損値の扱い	除外する／平均値などで補完する／欠損自体を情報として扱う。どれを選んだか明記する	処理方法を明示	安易な除外は偏りを生む	joho1 data
外れ値の扱い	入力ミスなら修正・除外。実際の値なら残して分析方法を工夫する	原因を確かめる	無条件に除外しない	joho1 data
クロス集計表	2つの質的変数の組み合わせごとに度数を集計した表	2変数	行%・列%のどちらで見るかで解釈が変わる	joho1 data
テキストマイニング	文章を単語に分解（形態素解析）して出現頻度や共起関係を分析する	形態素解析	ワードクラウドは頻度の可視化	joho1 data
散布図で見るもの	2つの量的変数の関係。点の並びの向き・強さ・外れ値	2変数の関係	時系列は折れ線、内訳は円・帯グラフ	joho1 data confusable
回帰直線	散布図の点に最もよく当てはまる直線。残差の2乗和が最小になるように引く（最小二乗法）	最小二乗法	外挿（データ範囲外の予測）は危険	joho1 data
母集団と標本	母集団は調べたい対象全体。標本はそこから取り出した一部。標本は無作為抽出する	無作為	偏った抽出は結論をゆがめる	joho1 data
オープンデータ	国や自治体などが誰でも自由に利用・再配布できる形で公開しているデータ	二次利用可	機械判読可能な形式であることが望ましい	joho1 data
