word	meaning	pos	root	example	exampleJa	collocation	memo	tags
retain	保持する／覚えている	動	re-(後に) + tain(保つ)	The soil retains water well.	その土壌はよく水を保つ。	retain heat / retain information	tain(保つ)系: contain, maintain, obtain, detain	root-tain
detain	拘留する／引き止める	動	de-(離して) + tain(保つ)	Police detained two suspects overnight.	警察は容疑者2名を一晩拘留した。	be detained for questioning	tain系。retain と対で覚える	root-tain
deduce	演繹して導く	動	de-(下へ) + duce(導く)	From these facts we can deduce his motive.	これらの事実から彼の動機を推論できる。	deduce a conclusion from	induce(帰納)・deduce(演繹) を対で。duce系: produce, reduce, introduce	root-duce confusable
induce	引き起こす／帰納する	動	in-(中へ) + duce(導く)	The drug may induce drowsiness.	その薬は眠気を引き起こすことがある。	induce sleep / induce A to do	deduce と混同注意	root-duce confusable
conducive	(〜に)資する、つながる	形	con-(共に) + duce(導く)	A quiet room is conducive to concentration.	静かな部屋は集中に資する。	be conducive to	to の後は名詞・動名詞。duce系	root-duce
concede	認める／譲歩する	動	con-(共に) + cede(譲る)	He finally conceded that he was mistaken.	彼はついに自分が誤っていたと認めた。	concede defeat / concede that	precede とつづりが近い。cede系: recede, secede, accede	root-cede confusable
precede	先行する、〜に先立つ	動	pre-(前に) + cede(行く)	A short introduction precedes each chapter.	各章の前には短い導入がある。	precede A / the preceding chapter	concede と混同注意。preceding「前述の」	root-cede confusable
recede	退く、後退する	動	re-(後ろへ) + cede(行く)	The floodwaters gradually receded.	洪水の水は徐々に引いていった。	recede into the distance	recession(景気後退)の動詞形	root-cede
recession	景気後退、後退	名	re-(後ろへ) + cede(行く)	The economy slipped into a deep recession.	経済は深刻な景気後退に陥った。	fall into recession	recede の名詞形	root-cede
perspective	観点／遠近法／見通し	名	per-(通して) + spect(見る)	Try to see the problem from a different perspective.	その問題を別の観点から見てみなさい。	from a ... perspective / put into perspective	spect系: inspect, prospect, retrospect, conspicuous	root-spect
retrospect	回顧、振り返ること	名	retro-(後ろへ) + spect(見る)	In retrospect, the decision was clearly wrong.	振り返ってみれば、その決定は明らかに誤りだった。	in retrospect	in retrospect は文頭の副詞句で頻出	root-spect
conspicuous	目立つ、人目を引く	形	con-(強意) + spic(見る)	Her red coat was conspicuous in the crowd.	彼女の赤いコートは人混みで目立っていた。	conspicuous by one's absence	「いないことが際立つ」の慣用も	root-spect
speculate	推測する／投機する	動	specul-(見張る)	Analysts speculate that prices will fall.	アナリストは価格が下がると推測している。	speculate about / on	「投機する」の意味も。spect系	root-spect
prospect	見込み、将来性	名	pro-(前を) + spect(見る)	There is little prospect of an early settlement.	早期解決の見込みはほとんどない。	the prospect of / job prospects	spect系。perspective と区別	root-spect
component	構成要素、部品	名	com-(共に) + pon(置く)	Memory is a key component of learning.	記憶は学習の重要な構成要素だ。	a key component of	pon/pos系: compose, impose, dispose, expose	root-pon
impose	課す／押しつける	動	im-(上に) + pos(置く)	The government imposed a new tax on imports.	政府は輸入品に新たな税を課した。	impose A on B	impose on B「Bに迷惑をかける」も	root-pon
dispose	処分する／配置する／傾かせる	動	dis-(離れて) + pos(置く)	Waste must be disposed of properly.	廃棄物は適切に処分しなければならない。	dispose of / be disposed to	dispose of で「処分する」。be disposed to do「〜する気がある」	root-pon
adverse	不利な、逆の	形	ad-(〜へ) + vers(向く)	The plan had adverse effects on the environment.	その計画は環境に悪影響を及ぼした。	adverse effects / adverse conditions	averse(嫌って)と混同注意。vers系: converse, diverse, reverse	root-vert confusable
converse	逆、反対（のこと）	名・形	con-(共に) + vers(向く)	The converse is not necessarily true.	その逆が必ずしも成り立つとは限らない。	the converse is true	動詞 converse「会話する」と同綴異義。数学・論理の文で頻出	root-vert polysemy
divert	そらす、転換する	動	di-(離れて) + vert(向ける)	Traffic was diverted to a side road.	車の流れは脇道へそらされた。	divert attention from	vert系: convert, invert, revert, avert	root-vert
versatile	多才な、用途の広い	形	vers(向く) + -atile	Wood is a remarkably versatile material.	木材は非常に用途の広い材料だ。	a versatile material / player	「いろいろな方向を向ける」が原義	root-vert
tenacious	粘り強い、固執する	形	ten(保つ) + -acious	She is tenacious in pursuing her goals.	彼女は目標の追求に粘り強い。	tenacious in / a tenacious grip	ten系: tenant, tenure, retention	root-ten
unprecedented	前例のない	形	un- + pre-(前) + cede(行く)	The country faced an unprecedented crisis.	その国は前例のない危機に直面した。	an unprecedented level / scale	precede の派生。長いが分解すれば読める	root-cede
abandon	〜を見捨てる／放棄する	動	ab-(離れて) + bandon(支配)	He abandoned his plan.	彼は計画を放棄した。	abandon a plan / ship	abandon oneself to「〜にふける」	kyodai-freq
conduct	行う／導く／振る舞い	動・名	con-(共に) + duct(導く)	The team conducted a careful experiment.	チームは入念な実験を行った。	conduct an experiment / a survey	名詞は「行い」。duce系と同根	root-duce polysemy
elaborate	入念な／詳しく述べる	形・動	e-(外へ) + labor(労働)	He refused to elaborate on his reasons.	彼は理由を詳しく述べることを拒んだ。	elaborate on / an elaborate system	形容詞と動詞で発音が違う	kyodai-freq
plausible	もっともらしい、ありそうな	形	plaud(拍手する)	The theory sounds plausible but lacks evidence.	その理論はもっともらしく聞こえるが証拠に欠ける。	a plausible explanation	「本当かは別として一応筋が通る」のニュアンス	kyodai-freq
inherent	本来備わっている、固有の	形	in-(中に) + her(くっつく)	Risk is inherent in any experiment.	どんな実験にもリスクは本来つきものだ。	inherent in	前置詞は in。adhere, coherent と同根	root-her
coherent	首尾一貫した	形	co-(共に) + her(くっつく)	She gave a coherent account of the incident.	彼女はその事件について首尾一貫した説明をした。	a coherent argument	inherent と対で。名詞 coherence	root-her
adhere	固守する／付着する	動	ad-(〜へ) + her(くっつく)	Members must adhere to the code of conduct.	会員は行動規範を守らなければならない。	adhere to	「守る」の意味は to を伴う	root-her
ambiguous	あいまいな、二通りに取れる	形	ambi-(両方) + ag(駆る)	The wording is deliberately ambiguous.	その言い回しは意図的にあいまいだ。	an ambiguous statement	「二義的」が原義。vague(漠然)と区別	kyodai-freq confusable
indifferent	無関心な／平凡な	形	in-(否) + different	He seemed indifferent to the outcome.	彼はその結果に無関心なようだった。	indifferent to	「違いを感じない」が原義。to を伴う	kyodai-freq
indispensable	不可欠な	形	in-(否) + dispense(免除する)	Water is indispensable to all living things.	水はあらゆる生物にとって不可欠だ。	indispensable to / for	「免除できない」が原義	kyodai-freq
susceptible	影響を受けやすい／かかりやすい	形	sub-(下に) + cept(取る)	Young plants are susceptible to frost.	若い植物は霜の害を受けやすい。	susceptible to	cept系: accept, concept, perceive。be subject to と近い	root-cap
perceive	知覚する、〜と捉える	動	per-(通して) + ceive(取る)	We perceive the world through language.	私たちは言語を通して世界を捉えている。	perceive A as B	名詞 perception。cept系	root-cap
conceive	思いつく／想像する	動	con-(共に) + ceive(取る)	It is hard to conceive of a world without money.	貨幣のない世界を想像するのは難しい。	conceive of / inconceivable	conceive of で「思い描く」	root-cap
deceive	欺く	動	de-(離して) + ceive(取る)	Appearances can deceive.	見かけは当てにならないことがある。	deceive oneself	名詞 deception。ceive系4語をまとめる	root-cap
compel	強いる	動	com-(共に) + pel(押す)	Circumstances compelled him to resign.	事情が彼に辞任を強いた。	compel A to do / compelling	compelling「説得力のある」も頻出。pel系: expel, repel, dispel, propel	root-pel
dispel	(不安・疑いを)払いのける	動	dis-(離れて) + pel(押す)	The evidence dispelled all doubts.	その証拠がすべての疑いを払いのけた。	dispel doubts / fears	目的語は抽象名詞	root-pel
undermine	徐々に損なう、蝕む	動	under-(下を) + mine(掘る)	The scandal undermined public trust.	その醜聞は世間の信頼を徐々に損なった。	undermine confidence / authority	「下を掘って土台を崩す」イメージ	kyodai-freq
underlie	〜の根底にある	動	under- + lie(横たわる)	Deep inequalities underlie the conflict.	深刻な不平等がその紛争の根底にある。	underlying causes	分詞 underlying が頻出	kyodai-freq
contradict	矛盾する、否定する	動	contra-(反対に) + dict(言う)	The two accounts flatly contradict each other.	2つの説明は真っ向から矛盾している。	contradict oneself	dict系: predict, verdict, dictate。名詞 contradiction	root-dict
attain	達成する、到達する	動	ad-(〜へ) + tain(触れる)	Few students attain that level of fluency.	その水準の流暢さに達する学生は少ない。	attain a goal / a level	achieve より硬い。tain系	root-tain
confine	限定する／閉じ込める	動	con- + fin(境界)	The damage was confined to the upper floors.	被害は上層階に限られていた。	be confined to	fin系: define, finite, infinite	root-fin
infinite	無限の	形	in-(否) + fin(境界)	The universe may be infinite in extent.	宇宙は広がりにおいて無限かもしれない。	infinite variety	対義 finite。fin系	root-fin
distinguish	区別する、際立たせる	動	dis-(離れて) + stingu(刺す)	It is difficult to distinguish cause from effect.	原因と結果を区別するのは難しい。	distinguish A from B	distinguished「著名な」も。tell A from B と同義	root-sting
extinguish	消す、絶滅させる	動	ex-(外へ) + stingu(刺す)	Firefighters extinguished the blaze within an hour.	消防士は1時間以内に火災を消し止めた。	extinguish a fire	distinguish と対で。extinct(絶滅した)	root-sting confusable
comprehend	理解する、包含する	動	com-(共に) + prehend(つかむ)	No single theory can comprehend all the data.	どの単一の理論もすべてのデータを包含できない。	comprehend the meaning	「包含する」の意味も。comprehensive「包括的な」	root-prehend polysemy
apprehend	理解する／逮捕する／恐れる	動	ap-(〜へ) + prehend(つかむ)	The police apprehended the suspect at the border.	警察は国境で容疑者を逮捕した。	apprehend a suspect	apprehension「不安」も。comprehend と混同注意	root-prehend confusable
prevail	広く行き渡る／打ち勝つ	動	pre-(前に) + vail(力がある)	This custom still prevails in rural areas.	この習慣は農村部では今なお広く行われている。	prevail over / prevailing view	prevailing「支配的な」が和訳で頻出	kyodai-freq
compensate	埋め合わせる、補償する	動	com-(共に) + pens(量る)	Extra practice compensates for a late start.	余分な練習が出遅れを埋め合わせる。	compensate for	pens系: pension, dispense, indispensable	root-pend
suspend	一時停止する／吊るす	動	sus-(下に) + pend(吊るす)	The trial was suspended pending further evidence.	公判はさらなる証拠が出るまで一時停止された。	suspend judgment	suspend judgment「判断を保留する」。pend系	root-pend polysemy
inevitable	避けられない	形	in-(否) + e-(外) + vit(避ける)	Some loss of accuracy is inevitable.	ある程度の精度の低下は避けられない。	an inevitable consequence	副詞 inevitably が論説文で頻出	kyodai-freq
arbitrary	恣意的な、独断的な	形	arbiter(裁定者)	The boundary is largely arbitrary.	その境界はおおむね恣意的なものだ。	an arbitrary decision	「勝手に決めた」の含み	kyodai-freq
subtle	微妙な、とらえにくい	形	sub-(下) + tel(織り目)	There is a subtle difference between the two words.	その2語には微妙な違いがある。	a subtle distinction	b は発音しない /ˈsʌtl/	kyodai-freq
crucial	決定的に重要な	形	crux(十字路)	Timing is crucial in this experiment.	この実験ではタイミングが決定的に重要だ。	play a crucial role	「分かれ道」が原義	kyodai-freq
obscure	不明瞭な／覆い隠す	形・動	ob-(上に) + scur(覆う)	Clouds obscured the summit all morning.	雲が午前中ずっと山頂を覆い隠していた。	obscure the view / an obscure origin	形容詞「無名の」も	kyodai-freq polysemy
elusive	とらえどころのない	形	e-(外へ) + lud(遊ぶ)	The cause of the disease remains elusive.	その病気の原因は依然としてとらえどころがない。	an elusive concept	動詞 elude「(理解を)逃れる」	kyodai-freq
profound	深遠な、深刻な	形	pro-(前に) + found(底)	The discovery had profound implications.	その発見は深い意味合いを持っていた。	a profound effect / change	deep の抽象版	kyodai-freq
modest	控えめな、ささやかな	形	mod(尺度)	The results showed only a modest improvement.	結果はわずかな改善しか示さなかった。	a modest increase	数量に付くと「わずかな」	kyodai-freq
remote	遠く離れた／わずかな	形	re-(後ろへ) + mot(動く)	There is only a remote possibility of failure.	失敗の可能性はごくわずかしかない。	a remote possibility	「わずかな」の用法を落とさない	kyodai-freq polysemy
virtually	事実上、ほとんど	副	virtu(力・実質)	The species is virtually extinct in the wild.	その種は野生では事実上絶滅している。	virtually all / impossible	「仮想的に」ではない	kyodai-freq confusable
literally	文字通り	副	liter(文字)	He took the metaphor literally.	彼はその比喩を文字通りに受け取った。	take literally	literary(文学の)・literate(読み書きできる)と混同注意	root-liter confusable
apparently	どうやら〜らしい	副	ap-(〜へ) + par(現れる)	Apparently no one had checked the figures.	どうやら誰も数字を確認していなかったらしい。	apparently not	「明らかに」ではなく「伝聞・推量」が主	kyodai-freq confusable
eventually	結局、やがて	副	event(出来事)	Eventually the two rivers merge.	やがて2つの川は合流する。	eventually become	「いつか」ではなく「最終的に」	kyodai-freq confusable
hardly	ほとんど〜ない	副	hard + -ly	The difference is hardly noticeable.	その違いはほとんど気づかれない。	hardly any / hardly ever	「熱心に」ではない。準否定	kyodai-freq confusable
otherwise	そうでなければ／別の点では	副	other + wise(方法)	The paper is short but otherwise excellent.	その論文は短いが、その他の点では優れている。	or otherwise / otherwise excellent	「その他の点では」の用法が和訳で出る	kyodai-freq polysemy
scarcely	ほとんど〜ない／〜するやいなや	副	scarce(乏しい)	Scarcely had he arrived when the storm broke.	彼が着くやいなや嵐が始まった。	scarcely ... when	倒置とセットで出る	kyodai-freq
notwithstanding	〜にもかかわらず	前・副	not + withstand(抵抗する)	Notwithstanding the delay, the project succeeded.	遅れにもかかわらず、その事業は成功した。	notwithstanding the fact that	名詞の後ろに置くこともある	kyodai-freq
albeit	〜ではあるが	接	although + it + be	The method works, albeit slowly.	その方法は、遅くはあるが機能する。	albeit slowly / albeit briefly	後ろは節でなく句が普通	kyodai-freq
thereby	それによって	副	there + by	Costs fell, thereby raising profits.	コストが下がり、それによって利益が増えた。	thereby doing	分詞構文を導く	kyodai-freq
insofar	〜する限りにおいて	副	in so far	The claim is true insofar as it concerns the data.	その主張はデータに関する限りは正しい。	insofar as	insofar as = to the extent that	kyodai-freq
cease	やめる、終わる	動	ced(行く)	The rain ceased before dawn.	雨は夜明け前にやんだ。	cease to exist / without cease	cease to do と cease doing。cede系と同根	root-cede
deteriorate	悪化する	動	deterior(より悪い)	Her condition deteriorated overnight.	彼女の容体は一晩で悪化した。	deteriorate rapidly	自動詞。improve の反対	kyodai-freq
diminish	減少する、減らす	動	di- + minu(小さい)	Returns diminish as input increases.	投入が増えるにつれて収益は逓減する。	diminishing returns	diminishing returns「収穫逓減」は経済文で頻出	kyodai-freq
accumulate	蓄積する	動	ac-(〜へ) + cumul(積む)	Sediment accumulates on the river bed.	堆積物が川床にたまっていく。	accumulate evidence / wealth	自動詞・他動詞両用	kyodai-freq
deplete	使い尽くす、枯渇させる	動	de-(離す) + plet(満たす)	Overfishing has depleted the stocks.	乱獲が資源を枯渇させた。	deplete resources	complete と同根(満たす)	root-plet
supplement	補う、補足（する）	名・動	sup-(下から) + plem(満たす)	Reading supplements what is taught in class.	読書は授業で教わることを補う。	supplement A with B	complement(補完物)と混同注意	root-plet confusable
complement	補完する、補完物	名・動	com-(共に) + plem(満たす)	The two approaches complement each other.	その2つの手法は互いを補完する。	complement each other	compliment(褒め言葉)と同音異義。混同注意	root-plet confusable
substitute	代用する、代わり	動・名	sub-(下に) + stitu(立てる)	You can substitute honey for sugar.	砂糖の代わりに蜂蜜を使ってよい。	substitute A for B	A が新、B が旧。replace B with A と逆	kyodai-freq confusable
